"['Parameters:', '[100, 4, [70, 70, 70, 80, 80], [0.0], 100.0, 100.0, 100.0, 0.2, 0.2, 0.2, True, False, False]']","['Time stamp:', '2015-07-08 11:20:38.986426']"
eddy num tasks,eddy correct percentage,random num tasks,random correct percentage
114,1.0,130,1.0
93,1.0,60,1.0
72,1.0,115,1.0
104,1.0,102,1.0
99,1.0,137,1.0
99,1.0,88,1.0
89,1.0,79,1.0
124,1.0,85,1.0
110,1.0,94,1.0
94,1.0,110,1.0
95,1.0,83,1.0
95,1.0,122,1.0
120,1.0,126,1.0
104,1.0,99,1.0
49,1.0,116,1.0
87,1.0,65,1.0
109,1.0,169,1.0
78,1.0,95,1.0
159,1.0,88,1.0
55,1.0,77,1.0
114,1.0,50,1.0
96,1.0,102,1.0
92,1.0,107,0.8571428571428571
153,1.0,103,1.0
80,1.0,121,1.0
158,1.0,99,1.0
73,1.0,73,1.0
134,1.0,90,1.0
106,1.0,100,1.0
54,1.0,63,1.0
84,1.0,76,1.0
72,1.0,115,1.0
92,1.0,102,1.0
147,1.0,87,1.0
126,1.0,85,1.0
118,1.0,107,1.0
126,1.0,146,1.0
130,1.0,113,1.0
106,1.0,102,1.0
104,1.0,150,1.0
97,1.0,82,1.0
141,1.0,148,1.0
90,1.0,110,1.0
114,1.0,137,1.0
96,1.0,145,1.0
108,1.0,109,1.0
54,1.0,152,1.0
93,1.0,110,1.0
68,1.0,121,1.0
88,1.0,104,1.0
103,1.0,71,1.0
74,1.0,107,1.0
176,1.0,141,1.0
75,1.0,131,1.0
96,1.0,115,1.0
76,1.0,116,1.0
95,1.0,108,1.0
91,1.0,53,1.0
90,1.0,125,1.0
80,1.0,121,1.0
124,1.0,128,1.0
128,1.0,82,1.0
66,1.0,99,1.0
106,1.0,126,1.0
114,1.0,148,1.0
55,1.0,125,1.0
97,1.0,124,1.0
91,1.0,112,1.0
148,1.0,131,1.0
80,1.0,116,1.0
135,1.0,117,1.0
82,1.0,131,1.0
70,1.0,192,1.0
70,1.0,115,1.0
80,1.0,105,1.0
84,1.0,88,1.0
89,1.0,110,1.0
101,1.0,147,1.0
88,1.0,141,1.0
123,1.0,86,1.0
78,1.0,81,1.0
108,1.0,111,1.0
101,1.0,98,1.0
92,1.0,129,1.0
80,1.0,89,1.0
85,1.0,126,1.0
67,1.0,133,1.0
110,1.0,100,1.0
60,1.0,98,1.0
141,1.0,102,1.0
71,1.0,74,1.0
65,1.0,104,1.0
87,1.0,98,1.0
80,1.0,100,1.0
55,1.0,67,1.0
107,1.0,101,1.0
129,1.0,123,1.0
78,1.0,124,1.0
93,1.0,71,1.0
160,1.0,105,1.0
